episode,episode_reward,fps,step
0.0,3.238676879575086,0.04122401940133877,0
1.0,10.066931837474069,14.785261579697394,1000
2.0,5.145443812878304,257.18303568526954,2000
3.0,6.636369414658316,5.917368696855716,3000
4.0,8.563924157934071,6.010752453887385,4000
5.0,5.448330927754625,5.94865716528567,5000
6.0,4.383144818902778,6.023205536446324,6000
7.0,11.156681365112536,6.011020167333927,7000
8.0,15.305939661353882,6.00324930586199,8000
9.0,7.670698206906397,5.990997654378748,9000
10.0,12.953302998815472,5.931721874756875,10000
11.0,6.172773939940737,4.291832011222558,11000
12.0,16.024072757154094,5.897017983077184,12000
13.0,22.60383855371131,5.89940892178872,13000
14.0,12.688915949011706,5.903897899078337,14000
15.0,19.865196719551417,5.878295531092556,15000
16.0,27.115918002117475,5.853209129404416,16000
17.0,27.46213869291943,5.976193789272567,17000
18.0,21.820902015637127,5.334218924153154,18000
19.0,38.81335754076618,4.803654335177142,19000
20.0,49.87574805453606,5.0387680834424105,20000
21.0,50.52883210177191,3.567750414202473,21000
22.0,80.63836177877178,5.603260073341599,22000
23.0,105.80305869888338,4.999874749937063,23000
24.0,121.67559078488252,4.903058238950205,24000
25.0,33.49231940662165,4.795276890797151,25000
26.0,112.9022670011013,5.368300545087474,26000
27.0,149.9766878675103,4.891180634698156,27000
28.0,59.89638780333072,5.183858069421121,28000
29.0,188.9026037865428,5.127630843577589,29000
30.0,167.7352591859229,4.890800275045015,30000
31.0,225.75740871310518,3.8915838416597572,31000
32.0,144.16060399252805,5.433565436766577,32000
33.0,135.90612341923446,5.168800887817819,33000
34.0,180.19219162557187,5.644431108487402,34000
35.0,194.2062033953753,5.470854443683491,35000
36.0,162.49523791337737,5.727952799802031,36000
37.0,151.56350360129113,5.53711041977496,37000
38.0,182.36410096482572,5.277833029801494,38000
39.0,196.07045957166804,5.463663941711761,39000
40.0,143.23599514872166,5.497022739152115,40000
41.0,160.46320504357467,4.054546059756881,41000
42.0,171.4834406139775,5.473672816419148,42000
43.0,182.1259969779861,5.6051513728197735,43000
44.0,187.4736485220835,5.547458816066365,44000
45.0,220.947360340539,5.684700863174847,45000
46.0,223.11692937334448,5.639317340547752,46000
47.0,243.7618639165668,5.314829841151453,47000
48.0,218.55800354202898,4.977498401097502,48000
49.0,213.23015202985735,5.746324512247487,49000
50.0,259.9973991700507,5.076812525103678,50000
51.0,210.9642572605212,4.112945310580302,51000
52.0,191.30400393903105,5.320456215359827,52000
53.0,290.6769913989857,5.502374498694779,53000
54.0,272.3985840729488,5.693279419830798,54000
55.0,249.3253660752984,5.779423294548351,55000
56.0,270.55545139530136,5.463831556482711,56000
57.0,271.36372705610785,5.372864061516736,57000
58.0,259.1643218006361,5.7654610747114905,58000
59.0,240.2321992034066,5.25659752491055,59000
60.0,274.3335287702775,5.3269253787203725,60000
61.0,271.10357974537004,4.01319056394328,61000
62.0,293.0172370183935,5.689119716155584,62000
63.0,302.90150210711556,5.298914336705357,63000
64.0,68.04628015256016,5.390522586369628,64000
65.0,317.950737314068,5.6215669947513485,65000
66.0,311.10790456381795,5.575112434716363,66000
67.0,114.7517244291213,5.349246189863606,67000
68.0,293.1680852814063,5.241850041989874,68000
69.0,308.53156885970293,5.378382042862942,69000
